,Jet.PT[0],Jet.PT[1],Jet.PT[2],Jet.PT[3],Jet.Phi[0],Jet.Phi[1],Jet.Phi[2],Jet.Phi[3],Jet.Eta[0],Jet.Eta[1],Jet.Eta[2],Jet.Eta[3],Jet.Mass[0],Jet.Mass[1],Jet.Mass[2],Jet.Mass[3],MissingET.MET,MissingET.Phi,MissingET.Eta,HT,DPhi_J0_J1,DPhi_MET_J0,DPhi_MET_J1,DPhi_MET_J2,DPhi_MET_J3,InvMass_J0_J1,InvMass_J0_J2,InvMass_J0_J3,InvMass_J1_J2,InvMass_J1_J3,InvMass_J2_J3,max_inv_mass
42,148.95995,130.9042,23.125854,21.64813,-1.302148,1.6270947,0.78351384,2.3737445,0.66490185,-3.512196,-0.31502596,-4.33141,2.8324451,13.4624,4.7683716e-07,4.9218354,37.13698959350586,-2.4508907794952393,4.720982074737549,324.63812,-2.9292426,1.1487427949905396,-2.2051997820483606,-3.048780683671133,-1.4585500399218958,1144.3906,117.78191,694.6025,265.21594,62.10475,166.84818,1144.390625
93,633.632,548.41895,56.502064,43.96189,3.1389184,0.07565383,-0.2763528,-0.49669555,-1.6164726,0.75151294,1.564618,-0.59715724,23.017988,52.208263,11.427185,6.7434956e-07,11.09210205078125,-1.861577033996582,5.098123550415039,1282.515,3.0632646,-1.2826898733722132,1.9372308626770973,1.5852242410182953,1.3648814857006073,2108.332,966.7025,369.92432,171.74318,248.04478,131.12483,2108.33203125
105,406.2856,262.08643,147.8204,78.10645,-2.454512,0.32236508,0.65823805,2.1536953,0.27248365,-2.3934007,1.77928,3.2538319,14.12899,14.625773,6.594412,9.616909,36.15800476074219,1.4641058444976807,2.3096139430999756,894.29895,-2.776877,2.364567581807272,-1.141740769147873,-0.8058677911758423,0.6895895004272461,1318.6367,636.2903,796.63446,1562.634,2411.3796,227.20833,2411.379638671875
189,168.54526,102.01038,85.95709,31.791998,-1.2724013,2.1313343,0.5969863,-2.427065,1.3425925,-2.848649,1.6854883,2.6528645,-5.3947965e-06,9.442678,15.235188,0.83070743,20.194490432739258,1.5037366151809692,3.926989793777466,388.30472,2.8794498,-2.776137948036194,0.6275976896286011,-0.9067503213882446,2.352383796368734,1081.7395,199.46068,130.30602,904.0918,892.12616,118.781906,1081.739501953125
197,509.76468,494.87952,46.019238,,-1.5874478,1.5671378,-0.53647333,,2.1668582,-0.23442009,-4.23929,,61.833195,81.26428,8.113437,,39.991146087646484,2.250804901123047,2.172600507736206,1050.6635,3.1286,2.4449326435672205,-0.6836670637130737,-2.7872782349586487,,1830.8875,3766.8516,,1140.3192,,,3766.8515625
289,69.68926,67.03479,62.099598,47.206646,-1.6691045,1.7259316,-3.0688338,0.5799311,-4.02413,1.9519979,-0.5745545,-1.7793051,8.689512,4.664674,3.7029536,4.3218017,27.689453125,-0.6063555479049683,5.180760860443115,246.0303,2.8881493,-1.062748908996582,2.3322871923446655,-2.462478280067444,1.1862866282463074,1359.9786,367.95447,189.42545,227.6257,360.0238,125.904976,1359.9786376953125
290,429.823,216.11327,184.25359,,-2.9185917,0.6034318,0.058853723,,-2.0167224,1.7296928,-0.8515033,,10.138281,26.287893,12.685929,,86.69937896728516,-0.6261508464813232,3.546708345413208,830.1899,2.7611618,-2.292440891265869,1.229582667350769,0.6850045695900917,,2028.0531,660.4769,,680.116,,,2028.0531005859375
347,73.99869,69.50342,47.378258,46.112713,0.18606529,-2.5881984,-3.0116115,0.5999061,2.4150388,-0.64005035,-4.7054286,0.3926948,15.931368,-9.536743e-07,3.4380853,2.2381892,25.626873016357422,-1.3674771785736084,5.081242084503174,236.99309,2.7742636,1.5535424649715424,-1.2207212448120117,-1.644134283065796,1.9673832654953003,345.40012,2084.6577,142.53952,431.27716,128.68443,601.5505,2084.65771484375
418,414.08926,380.86288,167.37485,60.23331,-1.848657,1.4764115,0.98010236,-1.4214716,-2.0300393,1.4595783,3.2165363,-0.7359896,40.246174,-1.5258789e-05,24.491432,9.698356,36.224822998046875,3.1401195526123047,-4.391977787017822,1022.56036,2.958117,1.2944087425815027,-1.6637080907821655,-2.160017192363739,1.7215941588031214,2342.257,3646.8733,236.95992,518.7846,504.32492,737.05273,3646.873291015625
448,294.58673,219.52954,69.242874,62.34626,-2.1112542,1.4740344,1.0184615,0.5390421,-0.97442484,0.74537987,1.2421526,3.0603604,3.015511,22.60629,10.9841585,7.5981874,21.86653709411621,-0.5532556176185608,-4.061562538146973,645.7054,2.697897,-1.5579985976219177,2.0272900462150574,1.571717083454132,1.0922977328300476,700.5798,480.3454,1034.9386,89.77163,354.21164,142.98338,1034.9385986328125
